Resident place,Number of stars,Review score,Experience rating,Experience vécue,Place near the hotel,Chambre,Déjeuner,Annulation,Extension,Caractéristique,Durée de séjour et personne,Prix
Rooms Inn Taxim,Non disponible,"Avec une note de 8,18,1",Très bien,295 expériences vécues,"Beyoğlu, Istanbul",Chambre Double ou Lits Jumeaux Standard avec Balcon,Non disponible,Non disponible,Offre à Durée Limitée,"Beyoğlu, IstanbulIndiquer sur la carte3,5 km du centreProche du métro","1 semaine, 1 adulte",US$388
Louis Appartements Galata,4 étoile(s),"Avec une note de 9,59,5",Exceptionnel,317 expériences vécues,"Beyoğlu, Istanbul",Suite Junior,Non disponible,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte2,1 km du centreProche du métro","1 semaine, 1 adulte",US$1 630
Garlon Residence,Non disponible,"Avec une note de 9,39,3",Fabuleux,1 701 expériences vécues,"Beyoğlu, Istanbul",Appartement 1 Chambre - Pâté de maisons GR1,Non disponible,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte3,2 km du centreProche du métro","1 semaine, 1 adulte",US$614
Sultan Hamit Hotel,3 étoile(s),"Avec une note de 9,39,3",Fabuleux,2 028 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux Standard,Non disponible,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte0,7 km du centre","1 semaine, 1 adulte",US$668
Arena Hotel - Special Class,Non disponible,"Avec une note de 8,68,6",Superbe,2 060 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux Économique - Sous-Sol,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte450 m du centre","1 semaine, 1 adulte",US$560
Taksim Terrapia Hotel,Non disponible,"Avec une note de 9,49,4",Fabuleux,16 expériences vécues,"Beyoğlu, Istanbul",Chambre Double Standard,Petit-déjeuner compris,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte2,3 km du centreProche du métro","1 semaine, 1 adulte",US$2 291
Enderun Hotel Istanbul,Non disponible,"Avec une note de 9,09,0",Fabuleux,1 724 expériences vécues,"Fatih, Istanbul",Chambre Simple,Petit-déjeuner compris,Non disponible,Offre à Durée Limitée,"Fatih, IstanbulIndiquer sur la carte0,7 km du centre","1 semaine, 1 adulte",US$494
White Palace Hotel,3 étoile(s),"Avec une note de 9,29,2",Fabuleux,382 expériences vécues,"Fatih, Istanbul",Chambre Simple avec Salle de Bains Privative,Petit-déjeuner compris,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte1,5 km du centreProche du métro","1 semaine, 1 adulte",US$414
Galapera Hotel,Non disponible,"Avec une note de 8,18,1",Très bien,611 expériences vécues,"Beyoğlu, Istanbul",Chambre Simple Économique,Non disponible,Non disponible,Offre Saisonnière,"Beyoğlu, IstanbulIndiquer sur la carte2,1 km du centreProche du métro","1 semaine, 1 adulte",US$249
Great Fortune Design Hotel & Spa,4 étoile(s),"Avec une note de 8,88,8",Superbe,3 113 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux Standard,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte350 m du centre","1 semaine, 1 adulte",US$640
Kaya Ryl Hotel Old City Grand Bazaar Istanbul,3 étoile(s),"Avec une note de 7,97,9",Bien,172 expériences vécues,"Fatih, Istanbul",Petite Chambre Simple,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte0,9 km du centre","1 semaine, 1 adulte",US$278
Ring Stone Hotels Bosphorus - Special Class,Non disponible,"Avec une note de 8,88,8",Superbe,1 471 expériences vécues,"Beyoğlu, Istanbul",Chambre Double Standard,Petit-déjeuner compris,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte2,3 km du centreProche du métro","1 semaine, 1 adulte",US$701
Elegance Aparts Cihangir,3 étoile(s),"Avec une note de 9,19,1",Fabuleux,363 expériences vécues,"Beyoğlu, Istanbul",Chambre Simple Deluxe avec Balcon,Non disponible,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte2,9 km du centre","1 semaine, 1 adulte",US$371
Nomade Old City Hotel,Non disponible,"Avec une note de 8,78,7",Superbe,1 219 expériences vécues,"Fatih, Istanbul",Chambre Double Standard,Petit-déjeuner compris,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte150 m du centre","1 semaine, 1 adulte",US$554
Constantinopolis Hotel,Non disponible,"Avec une note de 8,18,1",Très bien,2 515 expériences vécues,"Fatih, Istanbul",Chambre Double Économique,Non disponible,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte400 m du centre","1 semaine, 1 adulte",US$290
Ring Stone Hotels Old City - Special Class,Non disponible,"Avec une note de 9,79,7",Exceptionnel,91 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux Standard,Non disponible,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte300 m du centre","1 semaine, 1 adulte",US$664
The Fox Hotel,4 étoile(s),"Avec une note de 9,09,0",Fabuleux,2 217 expériences vécues,"Şişli, Istanbul",Chambre Simple Économique,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Şişli, IstanbulIndiquer sur la carte4,1 km du centre","1 semaine, 1 adulte",US$539
Royal Hotel Old City,3 étoile(s),"Avec une note de 8,68,6",Superbe,139 expériences vécues,"Fatih, Istanbul",Chambre Double ou Lits Jumeaux avec Lit d'Appoint,Non disponible,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte0,6 km du centre","1 semaine, 1 adulte",US$360
Mamma Marya Hotel,3 étoile(s),Avec une note de 1010,Exceptionnel,35 expériences vécues,"Fatih, Istanbul",Chambre Double Deluxe,Non disponible,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte1 km du centre","1 semaine, 1 adulte",US$654
Novus Hotel İstanbul,Non disponible,"Avec une note de 8,88,8",Superbe,312 expériences vécues,"Fatih, Istanbul",Chambre Double Deluxe,Petit-déjeuner compris,Non disponible,Non disponible,"Fatih, IstanbulIndiquer sur la carte0,9 km du centre","1 semaine, 1 adulte",US$499
Golden Sand Hotel,3 étoile(s),"Avec une note de 8,38,3",Très bien,1 231 expériences vécues,"Fatih, Istanbul",Chambre Simple Standard,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte0,9 km du centre","1 semaine, 1 adulte",US$539
Golden Stay Boutique Hotel Taksim,3 étoile(s),"Avec une note de 8,78,7",Superbe,37 expériences vécues,"Beyoğlu, Istanbul",Chambre Simple Deluxe,Petit-déjeuner compris,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte3 km du centre","1 semaine, 1 adulte",US$454
Weingart Istanbul,4 étoile(s),"Avec une note de 8,78,7",Superbe,3 881 expériences vécues,"Beyoğlu, Istanbul",Chambre Simple Économique,Petit-déjeuner compris,Non disponible,Non disponible,"Beyoğlu, IstanbulIndiquer sur la carte1,9 km du centre","1 semaine, 1 adulte",US$636
The Trinity Hotel Taksim - Special Category,Non disponible,"Avec une note de 8,98,9",Superbe,1 388 expériences vécues,"Beyoğlu, Istanbul",Chambre Double Supérieure,Non disponible,Non disponible,Offre Saisonnière,"Beyoğlu, IstanbulIndiquer sur la carte3,1 km du centreProche du métro","1 semaine, 1 adulte",US$580
Grand Ambiance Hotel,Non disponible,"Avec une note de 8,28,2",Très bien,1 110 expériences vécues,"Fatih, Istanbul",Chambre Double Standard,Petit-déjeuner compris,Non disponible,Offre Saisonnière,"Fatih, IstanbulIndiquer sur la carte0,6 km du centre","1 semaine, 1 adulte",US$593
